JENIS_KELAMIN,STATUS_MAHASISWA,UMUR,STATUS_NIKAH,IPS_1,IPS_2,IPS_3,IPS_4,STATUS_KELULUSAN
0,1,28,0,2.76,2.8,3.2,3.17,0
0,0,32,0,3.0,3.3,3.14,3.14,0
1,1,29,0,3.5,3.3,3.7,3.29,0
0,0,27,0,3.17,3.41,3.61,3.36,0
0,1,29,0,2.9,2.89,3.3,2.85,0
1,1,27,0,2.95,2.82,3.09,3.1,0
1,0,26,0,2.76,3.14,2.6,2.95,1
0,0,27,0,2.62,2.89,2.32,2.5,1
1,1,25,1,3.6,3.54,3.52,3.39,0
1,1,27,0,3.14,3.46,3.4,3.43,0
1,1,26,0,2.57,2.82,2.2,2.45,0
1,1,31,0,2.71,3.0,2.65,2.27,0
0,0,26,0,3.24,3.38,3.44,3.3,0
1,0,27,0,2.86,2.86,2.45,1.86,0
1,0,27,0,2.71,3.27,2.54,3.36,0
1,1,29,0,2.67,2.2,1.45,3.0,0
1,0,27,0,3.1,3.71,2.96,3.4,1
1,1,28,0,3.0,3.33,2.88,2.8,0
0,1,26,0,3.12,3.23,2.96,3.0,0
1,0,26,0,2.9,3.32,2.83,2.91,0
0,1,29,0,2.95,3.41,3.48,3.24,0
0,1,25,1,3.05,2.92,2.27,2.65,0
1,1,30,0,2.64,3.0,2.9,2.77,0
1,0,32,0,2.45,2.45,2.14,1.95,0
1,0,27,0,3.33,3.63,3.29,3.89,1
1,1,26,0,2.52,2.7,2.84,2.77,0
0,0,25,0,3.05,3.38,3.21,2.93,1
1,1,30,0,2.81,3.09,2.63,3.36,0
0,0,32,0,2.52,2.75,2.25,2.5,1
0,0,27,0,3.12,3.1,2.73,2.8,1
0,0,27,0,2.86,3.05,2.54,2.36,0
1,1,26,1,3.05,3.27,2.31,3.05,0
0,1,25,0,2.71,3.16,2.44,2.91,1
1,1,50,1,2.88,3.32,2.48,3.27,0
1,1,27,0,2.76,3.25,2.98,1.91,0
1,1,29,0,2.69,2.59,3.2,3.0,0
1,1,30,0,2.29,3.09,3.2,2.74,0
